numbers,product
"(484, 558)",270072
"(484, 613)",296692
"(484, 831)",402204
"(484, 886)",428824
"(484, 916)",443344
"(484, 971)",469964
"(487, 616)",299992
"(488, 913)",445544
"(489, 627)",306603
"(489, 836)",408804
"(496, 979)",485584
"(499, 737)",367763
"(506, 527)",266662
"(506, 582)",294492
"(506, 819)",414414
"(506, 874)",442244
"(506, 909)",459954
"(506, 929)",470074
"(506, 964)",487784
"(509, 836)",425524
"(511, 572)",292292
"(512, 792)",405504
"(512, 957)",489984
"(516, 814)",420024
"(517, 546)",282282
"(517, 576)",297792
"(517, 619)",320023
"(517, 649)",335533
"(517, 892)",461164
"(517, 922)",476674
"(517, 995)",514415
"(518, 858)",444444
"(524, 528)",276672
"(527, 759)",399993
"(528, 564)",297792
"(528, 768)",405504
"(528, 808)",426624
"(528, 848)",447744
"(528, 888)",468864
"(528, 928)",489984
"(529, 836)",442244
"(531, 814)",432234
"(538, 539)",289982
"(538, 913)",491194
"(539, 637)",343343
"(539, 806)",434434
"(539, 975)",525525
"(542, 902)",488884
"(543, 935)",507705
"(546, 759)",414414
"(546, 814)",444444
"(546, 869)",474474
"(547, 902)",493394
"(548, 748)",409904
"(548, 803)",440044
"(549, 935)",513315
"(553, 858)",474474
"(554, 726)",402204
"(555, 957)",531135
"(555, 979)",543345
"(557, 792)",441144
"(561, 713)",399993
"(561, 814)",456654
"(561, 824)",462264
"(561, 905)",507705
"(561, 915)",513315
"(563, 671)",377773
"(563, 748)",421124
"(572, 707)",404404
"(572, 742)",424424
"(572, 777)",444444
"(572, 812)",464464
"(572, 847)",484484
"(573, 671)",384483
"(576, 704)",405504
"(576, 814)",468864
"(577, 649)",374473
"(583, 671)",391193
"(583, 688)",401104
"(583, 728)",424424
"(583, 768)",447744
"(583, 995)",580085
"(587, 935)",548845
"(592, 792)",468864
"(593, 935)",554455
"(598, 693)",414414
"(599, 627)",375573
"(599, 935)",560065
"(605, 841)",508805
"(605, 843)",510015
"(605, 865)",523325
"(605, 887)",536635
"(605, 909)",549945
"(605, 911)",551155
"(605, 933)",564465
"(605, 955)",577775
"(605, 979)",592295
"(606, 704)",426624
"(606, 759)",459954
"(614, 979)",601106
"(615, 869)",534435
"(616, 689)",424424
"(616, 754)",464464
"(618, 748)",462264
"(627, 652)",408804
"(627, 762)",477774
"(627, 895)",561165
"(627, 925)",579975
"(629, 726)",456654
"(631, 935)",589985
"(633, 825)",522225
"(635, 803)",509905
"(636, 704)",447744
"(637, 682)",434434
"(637, 825)",525525
"(637, 935)",595595
"(637, 968)",616616
"(638, 653)",416614
"(638, 728)",464464
"(638, 768)",489984
"(638, 977)",623326
"(641, 825)",528825
"(645, 913)",588885
"(646, 946)",611116
"(649, 666)",432234
"(649, 726)",471174
"(652, 968)",631136
"(654, 671)",438834
"(662, 913)",604406
"(664, 671)",445544
"(664, 979)",650056
"(666, 704)",468864
"(666, 946)",630036
"(671, 674)",452254
"(671, 755)",506605
"(671, 765)",513315
"(671, 775)",520025
"(678, 957)",648846
"(682, 712)",485584
"(682, 883)",602206
"(682, 953)",649946
"(682, 958)",653356
"(685, 759)",519915
"(685, 803)",550055
"(689, 924)",636636
"(691, 825)",570075
"(693, 845)",585585
"(693, 962)",666666
"(695, 737)",512215
"(695, 825)",573375
"(696, 704)",489984
"(699, 825)",576675
"(703, 825)",579975
"(704, 879)",618816
"(704, 909)",639936
"(707, 715)",505505
"(707, 858)",606606
"(712, 913)",650056
"(715, 721)",515515
"(715, 735)",525525
"(715, 749)",535535
"(715, 763)",545545
"(715, 777)",555555
"(715, 791)",565565
"(715, 805)",575575
"(715, 819)",585585
"(715, 833)",595595
"(722, 968)",698896
"(726, 831)",603306
"(726, 906)",657756
"(726, 926)",672276
"(728, 847)",616616
"(728, 902)",656656
"(728, 957)",696696
"(731, 836)",611116
"(733, 902)",661166
"(737, 775)",571175
"(737, 888)",654456
"(742, 858)",636636
"(748, 817)",611116
"(748, 872)",652256
"(748, 927)",693396
"(754, 924)",696696
"(759, 874)",663366
"(759, 953)",723327
"(772, 803)",619916
"(773, 792)",612216
"(774, 814)",630036
"(777, 858)",666666
"(789, 814)",642246
"(792, 808)",639936
"(792, 853)",675576
"(794, 869)",689986
"(803, 822)",660066
"(803, 909)",729927
"(803, 959)",770077
"(804, 814)",654456
"(812, 858)",696696
"(814, 819)",666666
"(814, 834)",678876
"(819, 913)",747747
"(831, 968)",804408
"(836, 836)",698896
"(844, 957)",807708
"(847, 871)",737737
"(847, 921)",780087
"(848, 946)",802208
"(858, 966)",828828
"(863, 869)",749947
"(867, 924)",801108
"(868, 946)",821128
"(869, 913)",793397
"(869, 932)",809908
"(869, 982)",853358
"(888, 946)",840048
"(894, 957)",855558
"(897, 924)",828828
"(902, 909)",819918
"(902, 914)",824428
"(913, 993)",906609
"(916, 968)",886688
"(924, 932)",861168
"(924, 962)",888888
